ポケモンタイプのみ強さランキング

単タイプのみでのランキング
Final Type Rankings:
1. はがね: 0.0619
2. じめん: 0.0590
3. ほのお: 0.0583
4. みず: 0.0583
5. フェアリー: 0.0581
6. ゴースト: 0.0577
7. ひこう: 0.0568
8. でんき: 0.0556
9. かくとう: 0.0556
10. いわ: 0.0550
11. あく: 0.0547
12. どく: 0.0543
13. こおり: 0.0536
14. ドラゴン: 0.0531
15. エスパー: 0.0527
16. ノーマル: 0.0523
17. むし: 0.0521
18. くさ: 0.0510

防御重視ランキング
1     Steel/Fairy          0.006923
2     Flying/Steel         0.006913
3     Ground/Steel         0.006782
4     Ground/Fairy         0.006686
5     Ground/Flying        0.006635
6     Fire/Ground          0.006625
7     Water/Steel          0.006624
8     Fighting/Steel       0.006617
9     Dragon/Steel         0.006582
10    Ice/Ground           0.006552
11    Water/Fairy          0.006547
12    Water/Ground         0.006536
13    Poison/Dark          0.006530
14    Fire/Water           0.006496
15    Ghost/Fairy          0.006490
16    Electric/Fairy       0.006462
17    Electric/Flying      0.006449
18    Ghost/Steel          0.006442
19    Poison/Ground        0.006438
20    Water/Electric       0.006404
21    Fire/Fairy           0.006393
22    Electric/Ground      0.006389
23    Normal/Ghost         0.006371
24    Fire/Fighting        0.006364
25    Ground/Bug           0.006355
26    Water/Poison         0.006349
27    Fire/Grass           0.006346
28    Fighting/Ghost       0.006344
29    Fighting/Psychic     0.006311
30    Ground/Ghost         0.006308
31    Electric/Fighting    0.006307
32    Water/Dragon         0.006294
33    Ghost/Dark           0.006248
34    Fire/Dragon          0.006233
35    Water/Bug            0.006225
36    Fighting/Flying      0.006218
37    Dark/Fairy           0.006200
38    Bug/Rock             0.006189
39    Water/Ghost          0.006189
40    Electric/Bug         0.006181
41    Water/Flying         0.006175
42    Bug/Steel            0.006175
43    Grass/Rock           0.006161
44    Fighting/Ground      0.006155
45    Water/Ice            0.006145
46    Water/Fighting       0.006138
47    Fire/Ghost           0.006119
48    Normal/Ground        0.006116
49    Fire/Dark            0.006116
50    Psychic/Steel        0.006112
51    Ice/Fighting         0.006111
52    Electric/Ghost       0.006105
53    Fighting/Rock        0.006088
54    Ground/Dark          0.006080
55    Fighting/Fairy       0.006051
56    Fire/Steel           0.006042
57    Flying/Rock          0.006035
58    Normal/Fairy         0.006012
59    Ground/Dragon        0.006006
60    Electric/Ice         0.006002
61    Ground/Psychic       0.006000
62    Poison/Fairy         0.005993
63    Fire/Psychic         0.005992
64    Flying/Dark          0.005982
65    Grass/Steel          0.005979
66    Ground               0.005978
67    Dark/Steel           0.005957
68    Psychic/Fairy        0.005951
69    Electric/Steel       0.005947
70    Ice/Ghost            0.005935
71    Fighting/Dark        0.005926
72    Water/Grass          0.005925
73    Water                0.005922
74    Normal/Water         0.005918
75    Steel                0.005905
76    Rock/Fairy           0.005896
77    Fire/Electric        0.005890
78    Rock/Ghost           0.005880
79    Water/Rock           0.005880
80    Water/Dark           0.005879
81    Flying/Ghost         0.005878
82    Fire/Flying          0.005863
83    Poison/Steel         0.005852
84    Ground/Rock          0.005851
85    Water/Psychic        0.005847
86    Fairy                0.005845
87    Fire/Ice             0.005837
88    Normal/Electric      0.005828
89    Flying/Fairy         0.005819
90    Poison/Ghost         0.005819
91    Normal/Fire          0.005817
92    Fighting/Poison      0.005812
93    Grass/Ground         0.005802
94    Poison/Psychic       0.005798
95    Normal/Psychic       0.005773
96    Electric/Dark        0.005767
97    Fire                 0.005762
98    Dragon/Fairy         0.005742
99    Fire/Bug             0.005737
100   Electric/Psychic     0.005733
101   Poison/Flying        0.005731
102   Normal/Flying        0.005700
103   Electric             0.005700
104   Grass/Ghost          0.005692
105   Normal/Fighting      0.005690
106   Ice/Poison           0.005686
107   Ghost                0.005684
108   Psychic/Rock         0.005680
109   Grass/Poison         0.005673
110   Electric/Dragon      0.005663
111   Normal/Steel         0.005654
112   Bug/Ghost            0.005652
113   Rock/Steel           0.005644
114   Ice/Psychic          0.005634
115   Ice/Flying           0.005632
116   Electric/Poison      0.005629
117   Ghost/Dragon         0.005629
118   Electric/Grass       0.005625
119   Psychic/Dark         0.005624
120   Rock/Dragon          0.005609
121   Flying               0.005604
122   Normal/Poison        0.005603
123   Fire/Rock            0.005602
